date,title,link
2023年7月14日,大学案内2024、令和6年度 東京大学入学者選抜要項、令和6(2024)年度 東京大学学校推薦型選抜学生募集要項等の公表,https://www.u-tokyo.ac.jp/ja/admissions/undergraduate/e01_06_01.html
2022年7月15日,令和7年度東京大学入学者選抜における出題教科・科目等について［予告］,https://www.u-tokyo.ac.jp/ja/admissions/undergraduate/announcement.html
