Category,Date,Title,Link
留学生へのお知らせ/Notice to GSFS International Students,2023.07.31,令和５年度前期の学費免除申請を行った方へ／For those who have applied for Admission/Tuition Fee Exemption for the first half of 2023,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/18044/
留学生へのお知らせ/Notice to GSFS International Students,2023.07.11,東大留学生Careerゼミ【留学生OBOGから聞くー日本就職とキャリアを考えるーI】,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/event-information/17870/
留学生へのお知らせ/Notice to GSFS International Students,2023.07.10,（教務チーム）夏季休業・入試業務に伴う8月の窓口業務休止について / Notice regarding the closure of the Student Affairs Team office in August,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17839/
留学生へのお知らせ/Notice to GSFS International Students,2023.06.19,(R5後期)学費免除のページを更新しました。/Tuition Fee Exemption page has been updated.,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17588/
留学生宿舎情報/Housing Information for International Students,2023.07.05,2023 年度 10 月期 東京大学豊島国際学生宿舎 B 棟入居者募集(日本人学部学生・大学院学生),https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/17812/
留学生宿舎情報/Housing Information for International Students,2023.07.04,目白台ビレッジ 2023年度秋季RA募集,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/dormitory_nihonjin/17769/
留学生宿舎情報/Housing Information for International Students,2023.06.02,The University of Tokyo Accommodations for International Students October 2023 move-ins / 東京大学留学生宿舎2023年10月入居希望者募集,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/currently-accepting/17407/
留学生宿舎情報/Housing Information for International Students,2023.05.01,東京日本語教育センター留学生寮　 レジデント・アシスタント（RA）募集,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/currently-accepting/16913/
留学生宿舎情報/Housing Information for International Students,2023.02.03,社員寮への入居留学生募集-2023年4月中旬以降受入れ開始-,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/currently-accepting/15493/
海外留学奨学金/Study Abroad Scholarship(Japanese Students),2023.08.02,全学交換留学オンライン説明会 のお知らせ USTEP Online Information Session,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase/18080/
海外留学奨学金/Study Abroad Scholarship(Japanese Students),2023.08.01,（UTASで申請 10/6〆切）2023年度全学交換留学派遣候補学生の募集（2024-2025年期留学秋募集）Application for USTEP,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase/18063/
海外留学奨学金/Study Abroad Scholarship(Japanese Students),2023.07.28,【8/17〆切】SJTU Global Virtual Classroom Autumn 2023参加学生の募集,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase/18037/
海外留学奨学金/Study Abroad Scholarship(Japanese Students),2023.07.14,【教務チーム 8/7〆切】募集：公益財団法人吉田育英会 2024年度＜日本人派遣留学プログラム＞奨学生,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase/17898/
海外留学奨学金/Study Abroad Scholarship(Japanese Students),2023.07.10,(2023.7.7付）海外留学・国際交流情報ウェブサイト掲載情報一覧 更新,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase/17843/
民間奨学金・研究助成金情報（日本人）/Scholarship Information for Japanese Students,2023.07.06,【本部奨学Ｔ申込】一般社団法人大学女性協会　2023年度国内奨学生　※内部選考※,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/information/17829/
民間奨学金・研究助成金情報（日本人）/Scholarship Information for Japanese Students,2023.06.13,(直接応募)公益財団法人　富山文化財団（日本人・永住者対象）,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/information/17553/
民間奨学金・研究助成金情報（日本人）/Scholarship Information for Japanese Students,2023.06.13,(直接応募)サノフィ株式会社 Sanofi NextGen Scholarship(サノフィ次世代奨学金)（日本人・永住者対象）,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/information/17550/
民間奨学金・研究助成金情報（日本人）/Scholarship Information for Japanese Students,2023.06.12,【東京大学独自の奨学金】東京大学基金ステューデントサポーターズクラブ奨学金の募集,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/information/17540/
